,,,BRISK,,,BRIEF,,,FREAK,,,SIFT,,,ORB,
Detector,Frame,ttcLidar,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera
SHITOMASI,2,12.9722,82,15.7004,,87,14.6756,,82,15.5581,,85,14.0134,,84,13.8743
,3,12.624,76,12.768,,99,14.4019,,77,12.8195,,98,11.7823,,93,11.6588
,4,13.9161,84,13.5261,,106,9.973978,,84,10.4512,,105,10.9546,,95,12.0672
,5,7.11572,84,13.788,,100,15.0705,,84,14.5539,,96,12.694,,93,13.0791
,6,16.2511,91,12.8536,,100,12.7336,,92,12.9126,,104,11.8313,,93,12.0672
,7,12.4213,90,11.414,,94,13.2703,,81,14.954,,94,12.9945,,87,13.2282
,8,34.3404,91,12.9,,101,15.2664,,93,12.2476,,101,13.4182,,95,12.8595
,9,9.34376,87,13.9921,,103,12.0487,,88,12.8012,,103,13.2566,,99,11.9209
,10,18.1318,85,12.0021,,97,11.8703,,89,11.2316,,99,12.2092,,97,11.2653
,11,18.0318,85,57.4905,,97,12.6299,,79,13.6694,,98,13.5257,,95,13.9439
,12,3.83244,82,12.7884,,92,11.8507,,76,11.5524,,92,12.1076,,88,11.4706
,13,-10.8537,87,11.7642,,105,11.7462,,99,12.7096,,102,11.5372,,97,11.5556
,14,9.22307,95,11.4,,105,11.7197,,91,11.9423,,103,11.3886,,101,11.6341
,15,10.9678,86,12.0086,,101,11.3557,,82,11.8034,,97,11.5744,,90,11.426
,16,8.09422,83,10.4171,,94,12.1983,,88,12.1646,,97,10.8477,,88,10.6905
,17,3.17535,94,11.4542,,103,8.25049,,90,11.124,,102,7.48109,,97,9.90085
,18,-9.99424,84,9.52027,,98,11.1442,,87,10.3081,,99,11.0598,,94,9.52027
,19,8.30978,88,9.83704,,103,8.43097,,83,10.5253,,2,8.23276,,100,8.21711
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,BRISK,,,BRIEF,,,FREAK,,,SIFT,,,ORB,
,Frame,ttcLidar,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera
HARRIS,2,12.9722,8,10.9082,,4,10.9082,,8,9.74953,,4,10.9082,,9,10.9082
,3,12.624,14,11.0081,,10,63.8475,,11,-0.519552,,11,-10.6701,,10,63.8475
,4,13.9161,10,-11.4731,,12,-11.4731,,5,-80.8525,,13,-20.0948,,10,-11.4731
,5,7.11572,12,11.3951,,11,11.5792,,11,12.1284,,11,11.5792,,11,11.5792
,6,16.2511,15,44.9166,,20,35.3833,,20,-INF,,21,13.6432,,21,13.6432
,7,12.4213,12,13.6217,,14,15.2483,,13,15.5268,,16,27.8744,,13,13.6217
,8,34.3404,23,13.497,,20,14.2744,,19,13.1905,,19,17.6204,,20,13.497
,9,9.34376,16,17.6204,,16,17.6204,,13,-INF,,19,13.497,,17,35.1513
,10,18.1318,11,0.136149,,12,3.93864,,14,0.137835,,16,-6.08749,,11,3.90277
,11,18.0318,8,-153.93,,8,20.5862,,7,10.2931,,11,-13.4405,,8,20.5862
,12,3.83244,13,11.8135,,16,11.1552,,13,11.0967,,16,11.1552,,16,11.6702
,13,-10.8537,12,11.6948,,9,12.245,,9,12.245,,11,12.245,,13,11.6948
,14,9.22307,13,284.161,,15,13.4327,,13,13.4327,,16,13.4327,,13,568.322
